,Unnamed: 0,id_tarifa,consumo_kWh,%consumo_valle,%consumo_llano,%consumo_punta,%consumo_8h,%consumo_16h,compania,tarifa,tp_punta_euros/kwh/dia,tp_valle_euros/kwh/dia,peaje_tran_dist_pot_punta,peaje_tran_dist_pot_valle,peaje_ener_valle_tdc,peaje_ener_llano_tdc,peaje_ener_punta_tdc,termino_consumo_euros/kwh/hora,tc_valle_euros/kwh/hora,tc_llano_euros/kwh/hora,tc_punta_euros/kwh/hora,tc_8h_euros/kwh/hora,tc_16h_euros/kwh/hora,mercado,tipo,otros,alquiler_equipo_euros/dia,impuesto_actual,bono_social_euro/dia,margen_euros/kWh/dia,consumo_unico,consumo_valle,consumo_llano,consumo_punta,consumo_8h,consumo_16h,consumo_euros_unico,consumo_euros_valle,consumo_euros_llano,consumo_euros_punta,consumo_euros_8h,consumo_euros_16h,precio_final
0,0,0,202,6,75,19,30,70,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,0.0,0.0,0.0,0.0,60.6,141.4,0.0,0.0,0.0,0.0,5.2367490000000005,24.438162000000002,29.674911
1,1,0,279,23,19,58,1,99,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,0.0,0.0,0.0,0.0,2.79,276.21,0.0,0.0,0.0,0.0,0.24109785000000003,47.7373743,47.97847215
2,2,0,192,36,3,61,14,86,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,0.0,0.0,0.0,0.0,26.88,165.12,0.0,0.0,0.0,0.0,2.3228352,28.537689600000004,30.860524800000004
3,3,0,114,59,23,18,56,44,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,0.0,0.0,0.0,0.0,63.84,50.16,0.0,0.0,0.0,0.0,5.5167336,8.669152799999999,14.1858864
4,4,0,206,49,48,3,74,26,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,0.0,0.0,0.0,0.0,152.44,53.56,0.0,0.0,0.0,0.0,13.1731026,9.2567748,22.429877400000002
5,5,0,171,35,5,60,33,67,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,0.0,0.0,0.0,0.0,56.43,114.57,0.0,0.0,0.0,0.0,4.87639845,19.8011331,24.67753155
6,6,0,288,38,41,21,67,33,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,0.0,0.0,0.0,0.0,192.96,95.04,0.0,0.0,0.0,0.0,16.674638400000003,16.425763200000002,33.100401600000005
7,7,0,120,57,11,32,74,26,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,0.0,0.0,0.0,0.0,88.8,31.2,0.0,0.0,0.0,0.0,7.673652000000001,5.392296,13.065948
8,8,0,202,2,17,81,28,72,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,0.0,0.0,0.0,0.0,56.56,145.44,0.0,0.0,0.0,0.0,4.8876324,25.136395200000003,30.024027600000004
9,9,0,221,39,20,41,65,35,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,0.0,0.0,0.0,0.0,143.65,77.35,0.0,0.0,0.0,0.0,12.413514750000001,13.3684005,25.78191525
