,Unnamed: 0,id_tarifa,consumo_kWh,%consumo_valle,%consumo_llano,%consumo_punta,%consumo_8h,%consumo_16h,compania,tarifa,tp_punta_euros/kwh/dia,tp_valle_euros/kwh/dia,peaje_tran_dist_pot_punta,peaje_tran_dist_pot_valle,peaje_ener_valle_tdc,peaje_ener_llano_tdc,peaje_ener_punta_tdc,termino_consumo_euros/kwh/hora,tc_valle_euros/kwh/hora,tc_llano_euros/kwh/hora,tc_punta_euros/kwh/hora,tc_8h_euros/kwh/hora,tc_16h_euros/kwh/hora,mercado,tipo,otros,alquiler_equipo_euros/dia,impuesto_actual,bono_social_euro/dia,margen_euros/kWh/dia,consumo_unico,consumo_valle,consumo_llano,consumo_punta,consumo_8h,consumo_16h,consumo_euros_unico,consumo_euros_valle,consumo_euros_llano,consumo_euros_punta,consumo_euros_8h,consumo_euros_16h,precio_final
0,0,0,202,6,75,19,30,70,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,202,66.66,66.66,66.66,101.0,101.0,0,0.0,0.0,0.0,8.727915000000001,17.455830000000002,26.183745000000002
1,1,0,279,23,19,58,1,99,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,279,92.07000000000001,92.07000000000001,92.07000000000001,139.5,139.5,0,0.0,0.0,0.0,12.054892500000001,24.109785000000002,36.1646775
2,2,0,192,36,3,61,14,86,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,192,63.36,63.36,63.36,96.0,96.0,0,0.0,0.0,0.0,8.29584,16.59168,24.887520000000002
3,3,0,114,59,23,18,56,44,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,114,37.620000000000005,37.620000000000005,37.620000000000005,57.0,57.0,0,0.0,0.0,0.0,4.925655,9.85131,14.776965
4,4,0,206,49,48,3,74,26,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,206,67.98,67.98,67.98,103.0,103.0,0,0.0,0.0,0.0,8.900745,17.80149,26.702235
5,5,0,171,35,5,60,33,67,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,171,56.43,56.43,56.43,85.5,85.5,0,0.0,0.0,0.0,7.3884825,14.776965,22.1654475
6,6,0,288,38,41,21,67,33,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,288,95.04,95.04,95.04,144.0,144.0,0,0.0,0.0,0.0,12.443760000000001,24.887520000000002,37.33128000000001
7,7,0,120,57,11,32,74,26,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,120,39.6,39.6,39.6,60.0,60.0,0,0.0,0.0,0.0,5.184900000000001,10.369800000000001,15.554700000000002
8,8,0,202,2,17,81,28,72,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,202,66.66,66.66,66.66,101.0,101.0,0,0.0,0.0,0.0,8.727915000000001,17.455830000000002,26.183745000000002
9,9,0,221,39,20,41,65,35,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,221,72.93,72.93,72.93,110.5,110.5,0,0.0,0.0,0.0,9.5488575,19.097715,28.6465725
10,10,0,174,41,43,16,15,85,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,174,57.42,57.42,57.42,87.0,87.0,0,0.0,0.0,0.0,7.518105,15.03621,22.554315000000003
11,11,0,187,13,77,10,38,62,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,187,61.71,61.71,61.71,93.5,93.5,0,0.0,0.0,0.0,8.079802500000001,16.159605000000003,24.239407500000006
12,12,0,216,1,36,63,76,24,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,216,71.28,71.28,71.28,108.0,108.0,0,0.0,0.0,0.0,9.33282,18.66564,27.99846
13,13,0,199,59,13,28,36,64,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,199,65.67,65.67,65.67,99.5,99.5,0,0.0,0.0,0.0,8.598292500000001,17.196585000000002,25.794877500000005
14,14,0,203,1,69,30,80,20,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,203,66.99000000000001,66.99000000000001,66.99000000000001,101.5,101.5,0,0.0,0.0,0.0,8.7711225,17.542245,26.313367500000002
