id,compañia,tarifa,tp_punta_euros/kwh/dia,tp_valle_euros/kwh/dia,peaje_tran_dist_pot_valle,peaje_tran_dist_pot_punta,peaje_tran_dist_ener_valle,peaje_tran_dist_ener_llano,peaje_tran_dist_ener_punta,termino_consumo_euros/kwh/hora,tc_valle_euros/kwh/hora,tc_llano_euros/kwh/hora,tc_punta_euros/kwh/hora,tc_8h_euros/kwh/hora,tc_16h_euros/kwh/hora,mercado,tipo,otros,alquiler_equipo_euros/dia,impuesto_actual,bono_social_euro/dia
0,Repsol,Mis 10 Horas,"0,0681918","0,0681918","0,000527","0,0081915","0,002195","0,008779","0,043893",,,,,"0,086415","0,172830",Libre,DH,,"0,026557","5,11",
1,Iberdrola,Plan Elige 8 Horas,"0,1081918","0,0424110","0,000527","0,0081915","0,002195","0,008779","0,043893",,,,,"0,096700","0,241000",Libre,DH,,"0,026557","5,11",
2,Iberdrola,Plan Noche,"0,1081918","0,0424110","0,000527","0,0081915","0,002195","0,008779","0,043893",,,,,"0,109000","0,239000",Libre,DH,,"0,026557","5,11",
3,Iberdrola,Plan Familias,"0,1081918","0,0424110","0,000527","0,0081915","0,002195","0,008779","0,043893",,,,,"0,103000","0,189000",Libre,DH,,"0,026557","5,11",
4,Iberdrola,Plan Verano,"0,1081918","0,0424110","0,000527","0,0081915","0,002195","0,008779","0,043893",,,,,"0,099000","0,219000",Libre,DH,,"0,026557","5,11",
5,Iberdrola,Plan Invierno,"0,1081918","0,0424110","0,000527","0,0081915","0,002195","0,008779","0,043893",,,,,"0,096000","0,225000",Libre,DH,,"0,026557","5,11",
6,Iberdrola,Plan Vehiculo Electrico,"0,0958904","0,0424110","0,000527","0,0081915","0,002195","0,008779","0,043893",,,,,"0,030000","0,199999",Libre,DH,,"0,026557","5,11",
7,Iberdrola,Plan Solar,"0,0958904","0,0424110","0,000527","0,0081915","0,002195","0,008779","0,043893",,,,,"0,101600","0,203200",Libre,DH,,"0,026557","5,11",
8,Iberdrola,Plan Ahorro Inteligente,"0,1081918","0,0424110","0,000527","0,0081915","0,002195","0,008779","0,043893",,,,,"0,099999","0,168225",Libre,DH,,"0,026557","5,11",
9,Naturgy,Por Uso,"0,1037000","0,0340000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,114900",,,,,,Libre,FIJO,,"0,026557","5,11",
10,Cepsa (Podo),Flexi Uno,"0,0800000","0,0040000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,172000",,,,,,Libre,FIJO,,"0,026557","5,11",
11,Endesa,OneLuz,"0,1057847","0,0388729","0,000527","0,0081915","0,002195","0,008779","0,043893","0,112500",,,,,,Libre,FIJO,,"0,026557","5,11",
12,Endesa,ConectaEndesa,"0,0997032","0,0327914","0,000527","0,0081915","0,002195","0,008779","0,043893","0,095700",,,,,,Libre,FIJO,,"0,026557","5,11",
13,Endesa,OneLuz12mess,"0,1057847","0,0388729","0,000527","0,0081915","0,002195","0,008779","0,043893","0,106250",,,,,,Libre,FIJO,,"0,026557","5,11",
14,Endesa,TempoHappy 2 horas,"0,1057847","0,0388729","0,000527","0,0081915","0,002195","0,008779","0,043893","0,200738",,,,,,Libre,FIJO,,"0,026557","5,11",
15,Endesa,TempoHappy 24horas,"0,1057847","0,0388729","0,000527","0,0081915","0,002195","0,008779","0,043893","0,200738",,,,,,Libre,FIJO,,"0,026557","5,11",
16,EDP,Tranquilidad,"0,0942237","0,0273119","0,000527","0,0081915","0,002195","0,008779","0,043893","0,140000",,,,,,Libre,FIJO,,"0,026557","5,11",
17,EDP,Tranquilidad,"0,0942237","0,0273119","0,000527","0,0081915","0,002195","0,008779","0,043893","0,128000",,,,,,Libre,FIJO,,"0,026557","5,11",
18,TotalEnergies,A Tu Aire Siempre,"0,1367000","0,0000000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,105000",,,,,,Libre,FIJO,,"0,026557","5,11",
19,Imagina,Plan sin horas,"0,0990000","0,0490000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,116000",,,,,,Libre,FIJO,,"0,026557","5,11",
20,Imagina,Plan Solar 1,"0,0650000","0,0990000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,214000",,,,,,Libre,FIJO,,"0,026557","5,11",
21,Imagina,Plan Solar 2,"0,0490000","0,0990000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,116000",,,,,,Libre,FIJO,,"0,026557","5,11",
22,EnergyGO,Precio Fijo,"0,1189000","0,0520000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,128000",,,,,,Libre,FIJO,,"0,026557","5,11",
23,Repsol,Ahorro Plus,"0,0681918","0,0681918","0,000527","0,0081915","0,002195","0,008779","0,043893","0,119746",,,,,,Libre,FIJO,,"0,026557","5,11",
24,Som Energia,Indexada,"0,0752712","0,0083808","0,000527","0,0081915","0,002195","0,008779","0,043893","0,164401",,,,,,Libre,FIJO,,"0,026557","5,11",
25,Com Reg Naturgy,PVPC,"0,002128","0,061375","0,002128","0,061375","0,000002","0,000053","0,000091","0,139455",,,,,,Regulado,PVPC,,"0,026557","5,11","0,006282"
26,Fenie Energia,MISMO PRECIO 24H 2.0TD,"0,0695660","0,0026540","0,000527","0,0081915","0,002195","0,008779","0,043893","0,164604",,,,,,Libre,FIJO,,"0,026557","5,11",
27,Fenie Energia,PRECIO MERCADO 2.0TD,"0,0695660","0,0026540","0,000527","0,0081915","0,002195","0,008779","0,043893","0,149455",,,,,,Libre,FIJO,,"0,026557","5,11",
28,Disa,Alisios,"0,0800000","0,0300000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,120000",,,,,,Libre,FIJO,,"0,026557","5,11",
29,Pepe Energy,Fija,"0,0695670","0,0807000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,168000",,,,,,Libre,FIJO,,"0,026557","5,11",
30,Aldro,Facil Luz,"0,0867490","0,0500000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,119000",,,,,,Libre,FIJO,,"0,026557","5,11",
31,Gana Energia,24 Horas,"0,1230000","0,0500000","0,000527","0,0081915","0,002195","0,008779","0,043893","0,119000",,,,,,Libre,FIJO,,"0,026557","5,11",
32,CHC Energia,Plan Ilumina,"0,0814170","0,0814170","0,000527","0,0081915","0,002195","0,008779","0,043893","0,149736",,,,,,Libre,FIJO,,"0,026557","5,11",
33,CHC Energia,Plan Ilumina Promo,"0,0814170","0,0814170","0,000527","0,0081915","0,002195","0,008779","0,043893","0,118958",,,,,,Libre,FIJO,,"0,026557","5,11",
34,CHC Energia,Plan Ilumina Duo,"0,0540200","0,0540200","0,000527","0,0081915","0,002195","0,008779","0,043893","0,195736",,,,,,Libre,FIJO,,"0,026557","5,11",
35,CHC Energia,Plan Ilumina Duo Promo,"0,0755270","0,0086540","0,000527","0,0081915","0,002195","0,008779","0,043893","0,149736",,,,,,Libre,FIJO,,"0,026557","5,11",
36,CatGas Energia,2.0TD L,"0,0895100","0,0287671","0,000527","0,0081915","0,002195","0,008779","0,043893","0,132000",,,,,,Libre,FIJO,,"0,026557","5,11",
37,Integra Energia,2.0TD,"0,0695660","0,0295400","0,000527","0,0081915","0,002195","0,008779","0,043893","0,090000",,,,,,Libre,FIJO,,"0,026557","5,11",
38,Bassols Energia,Hogar 24h,"0,0890360","0,0193430","0,000527","0,0081915","0,002195","0,008779","0,043893","0,159081",,,,,,Libre,FIJO,,"0,026557","5,11",
39,Acis Energia,Ecoluz Free,"0,1068701","0,0439183","0,000527","0,0081915","0,002195","0,008779","0,043893","0,168451",,,,,,Libre,FIJO,,"0,026557","5,11",
40,Estabanell Energia,Dinámico sin horarios,"0,0846760","0,0332480","0,000527","0,0081915","0,002195","0,008779","0,043893","0,158900",,,,,,Libre,FIJO,,"0,026557","5,11",
41,Iberdrola,Plan Online,"0,0958904","0,0410959","0,000527","0,0081915","0,002195","0,008779","0,043893","0,109420",,,,,,Libre,FIJO,,"0,026557","5,11",
