,id,compania,tarifa,tp_punta_euros/kwh/dia,tp_valle_euros/kwh/dia,peaje_tran_dist_pot_punta,peaje_tran_dist_pot_valle,peaje_ener_valle_tdc,peaje_ener_llano_tdc,peaje_ener_punta_tdc,termino_consumo_euros/kwh/hora,tc_valle_euros/kwh/hora,tc_llano_euros/kwh/hora,tc_punta_euros/kwh/hora,tc_8h_euros/kwh/hora,tc_16h_euros/kwh/hora,mercado,tipo,otros,alquiler_equipo_euros/dia,impuesto_actual,bono_social_euro/dia,margen_euros/kWh/dia,consumo_valle,consumo_llano,consumo_punta,total_actual,total_factura,coste_valle,coste_llano,coste_punta
0,0,Repsol,Mis 10 Horas,0.0681918,0.0681918,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.086415,0.17283,Libre,DH,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,66.444444708444,8.6415,17.283,17.283
1,1,Iberdrola,Plan Elige 8 Horas,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.0967,0.241,Libre,DH,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,85.02497157541201,9.67,24.099999999999998,24.099999999999998
2,2,Iberdrola,Plan Noche,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.109,0.239,Libre,DH,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,85.984625875412,10.9,23.9,23.9
3,3,Iberdrola,Plan Familias,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.103,0.189,Libre,DH,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,73.72879987541201,10.299999999999999,18.9,18.9
4,4,Iberdrola,Plan Verano,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.099,0.219,Libre,DH,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,80.203575875412,9.9,21.9,21.9
5,5,Iberdrola,Plan Invierno,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.096,0.225,Libre,DH,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,81.24416487541201,9.6,22.5,22.5
6,6,Iberdrola,Plan Vehiculo Electrico,0.0958904,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.03,0.199999,Libre,DH,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,66.423820465706,3.0,19.9999,19.9999
7,7,Iberdrola,Plan Solar,0.0958904,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.1016,0.2032,Libre,DH,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,75.44248970770602,10.16,20.32,20.32
8,8,Iberdrola,Plan Ahorro Inteligente,0.1081918,0.042411,0.0081915,0.000527,0.002752,0.027963,0.076974,0.0,0.0,0.0,0.0,0.099999,0.168225,Libre,DH,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,68.57776870441201,9.9999,16.8225,16.8225
9,9,Naturgy,Por Uso,0.1037,0.034,0.0081915,0.000527,0.002752,0.027963,0.076974,0.1149,0.0,0.0,0.0,0.0,0.0,Libre,FIJO,0.0,0.026557,5.11,0.0,0.0,100.0,100.0,100.0,10.0,56.492741283,11.49,11.49,11.49
