id;compania;tarifa;tp_punta_euros/kwh/dia;tp_valle_euros/kwh/dia;peaje_tran_dist_pot_punta;peaje_tran_dist_pot_valle;peaje_ener_valle_tdc;peaje_ener_llano_tdc;peaje_ener_punta_tdc;termino_consumo_euros/kwh/hora;tc_valle_euros/kwh/hora;tc_llano_euros/kwh/hora;tc_punta_euros/kwh/hora;tc_8h_euros/kwh/hora;tc_16h_euros/kwh/hora;mercado;tipo;otros;alquiler_equipo_euros/dia;impuesto_actual;bono_social_euro/dia;margen_euros/kWh/dia
0;Repsol;Mis 10 Horas;0.0681918;0.0681918;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0;0;0;0.086415;0.17283;Libre;DH;0;0.026557;5.11;0;
1;Iberdrola;Plan Elige 8 Horas;0.1081918;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0;0;0;0.0967;0.241;Libre;DH;0;0.026557;5.11;0;
2;Iberdrola;Plan Noche;0.1081918;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0;0;0;0.109;0.239;Libre;DH;0;0.026557;5.11;0;
3;Iberdrola;Plan Familias;0.1081918;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0;0;0;0.103;0.189;Libre;DH;0;0.026557;5.11;0;
4;Iberdrola;Plan Verano;0.1081918;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0;0;0;0.099;0.219;Libre;DH;0;0.026557;5.11;0;
5;Iberdrola;Plan Invierno;0.1081918;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0;0;0;0.096;0.225;Libre;DH;0;0.026557;5.11;0;
6;Iberdrola;Plan Vehiculo Electrico;0.0958904;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0;0;0;0.03;0.199999;Libre;DH;0;0.026557;5.11;0;
7;Iberdrola;Plan Solar;0.0958904;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0;0;0;0.1016;0.2032;Libre;DH;0;0.026557;5.11;0;
8;Iberdrola;Plan Ahorro Inteligente;0.1081918;0.042411;0.0081915;0.000527;0.002752;0.027963;0.076974;0;0;0;0;0.099999;0.168225;Libre;DH;0;0.026557;5.11;0;
9;Naturgy;Por Uso;0.1037;0.034;0.0081915;0.000527;0.002752;0.027963;0.076974;0.1149;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
10;Cepsa (Podo);Flexi Uno;0.08;0.004;0.0081915;0.000527;0.002752;0.027963;0.076974;0.172;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
11;Endesa;OneLuz;0.1057847;0.0388729;0.0081915;0.000527;0.002752;0.027963;0.076974;0.1125;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
12;Endesa;ConectaEndesa;0.0997032;0.0327914;0.0081915;0.000527;0.002752;0.027963;0.076974;0.0957;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
13;Endesa;OneLuz12mess;0.1057847;0.0388729;0.0081915;0.000527;0.002752;0.027963;0.076974;0.10625;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
14;Endesa;TempoHappy 2 horas;0.1057847;0.0388729;0.0081915;0.000527;0.002752;0.027963;0.076974;0.200738;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
15;Endesa;TempoHappy 24horas;0.1057847;0.0388729;0.0081915;0.000527;0.002752;0.027963;0.076974;0.200738;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
16;EDP;Tranquilidad;0.0942237;0.0273119;0.0081915;0.000527;0.002752;0.027963;0.076974;0.14;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
17;EDP;Tranquilidad;0.0942237;0.0273119;0.0081915;0.000527;0.002752;0.027963;0.076974;0.128;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
18;TotalEnergies;A Tu Aire Siempre;0.1367;0.1367;0.0081915;0.000527;0.002752;0.027963;0.076974;0.105;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
19;Imagina;Plan sin horas;0.099;0.049;0.0081915;0.000527;0.002752;0.027963;0.076974;0.116;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
20;Imagina;Plan Solar 1;0.065;0.099;0.0081915;0.000527;0.002752;0.027963;0.076974;0.214;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
21;Imagina;Plan Solar 2;0.049;0.099;0.0081915;0.000527;0.002752;0.027963;0.076974;0.116;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
22;EnergyGO;Precio Fijo;0.1189;0.052;0.0081915;0.000527;0.002752;0.027963;0.076974;0.128;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
23;Repsol;Ahorro Plus;0.0681918;0.0681918;0.0081915;0.000527;0.002752;0.027963;0.076974;0.119746;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
24;Som Energia;Indexada;0.0752712;0.0083808;0.0081915;0.000527;0.002752;0.027963;0.076974;0.164401;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
25;Com Reg Naturgy;PVPC;0.0081915;0.000527;0.061375;0.002128;0.002752;0.027963;0.076974;0;0.115065;0.141355;0.19233;0;0;Regulado;PVPC;0;0.026557;5.11;0.033886;0.008528767
26;Fenie Energia;MISMO PRECIO 24H 2.0TD;0.069566;0.002654;0.0081915;0.000527;0.002752;0.027963;0.076974;0.164604;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
27;Fenie Energia;PRECIO MERCADO 2.0TD;0.069566;0.002654;0.0081915;0.000527;0.002752;0.027963;0.076974;0.149455;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
28;Disa;Alisios;0.08;0.03;0.0081915;0.000527;0.002752;0.027963;0.076974;0.12;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
29;Pepe Energy;Fija;0.069567;0.0807;0.0081915;0.000527;0.002752;0.027963;0.076974;0.168;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
